ReturnCode,Name,Description,Column1,Type,Status,Hướng xử lí
-10000,CALL_UM_EXCEPTION,Lỗi xảy ra khi gọi UM,-,System Error,Fail,"Hdan kh thực hiện lại sau, nếu KH bị trừ tiền check sổ phụ theo quy trình "
-9999,TRANS_FAIL,OP update manually,OP cập nhật thủ công,System Error,Fail,
-9991,OTP_HAS_BEEN_EXPIRED,OTP hết hạn,OTP hết hạn,User Error,Fail,"Nhờ KH kiểm tra lại OTP và thực hiện lại sau
Nếu KH bị trừ tiền, check sổ phụ theo quy trình"
-9990,SYSTEM_MAINTAIN,"Hệ thống đang bảo trì, vui lòng thử lại sau!",Hệ thống đang bảo trì,System Error,Fail,Hệ thống đang bảo trì nên KH không thực hiện được dịch vụ. Nhờ KH thực hiện lại sau
-9205,CALL_BANK_CONN_OTP_EXCEPTION,Lỗi xảy ra khi gọi OTP,Không lấy được OTP từ NH,System Error,Fail,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9204,CALL_TPE_EXCEPTION,Lỗi xảy ra khi gọi TPE!,Không nhận được kết quả từ NH,System Error,Fail,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9203,CALL_UM_EXCEPTION,Lỗi xảy ra khi gọi UM!,-,System Error,Fail,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9202,CALL_BANK_CONN_EXCEPTION,Quá thời gian xử lí khi gọi qua bank,Quá thời gian xử lí khi gọi qua bank,Bank Error,Pending,"Giao dịch bị quá thời gian xử lý từ phía Ngân hàng => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9201,CALL_BANK_EXCEPTION,Vượt quá thời gian xử lý giao dịch nạp/rút của ngân hàng!,-,Bank Error,Pending,"Hdan kh thực hiện lại sau, nếu KH bị trừ tiền check sổ phụ theo quy trình "
-9106,DATABASE_QUERY_FAIL,Thông tin không tồn tại.,-,System Error,Pending,
-9105,CACHE_EXCEPTION,"Hệ thống có lỗi, vui lòng thử lại sau!",Lỗi bộ đệm,System Error,Pending,"Đầy bộ nhớ đệm  => Nhờ KH xóa bộ nhớ đệm (caache) và thực hiện lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9104,TRYLOCK_FAIL,"Hệ thống có lỗi, vui lòng thử lại sau!",-,System Error,Pending,
-9103,ENQUEUE_EXCEPTION,"Hệ thống có lỗi, vui lòng thử lại sau!",,System Error,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9102,DATABASE_UPDATE_FAIL,"Hệ thống có lỗi, vui lòng thử lại sau!",,System Error,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9101,DATABASE_EXCEPTION,"Hệ thống có lỗi, vui lòng thử lại sau!",,System Error,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9003,BANK_DATA_CONVERTION_EXCEPTION,"Hệ thống có lỗi, vui lòng thử lại sau!",,System Error,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9002,GENERATE_TRAN_ID_FAIL,"Hệ thống có lỗi, vui lòng thử lại sau!",,System Error,Fail,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-9001,DATA_CONVERTION_EXCEPTION,"Hệ thống có lỗi, vui lòng thử lại sau!",,System Error,Pending,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-7001,CARD_TYPE_NOT_SUPPORT_ONLINE_PAYMENT,Loại thẻ không hỗ trợ thanh toán trực tuyến,,Bank Error,Fail,"Hệ thống Ngân hàng không ổn định => Nhờ KH thử lại
Nếu bị trừ tiền, check sổ phụ theo quy trình"
-7000,CARD_NOT_REGISTERED_ONLINE_PAYMENT,Quý khách chưa đăng ký dịch vụ thanh toán qua Internet. Vui lòng liên hệ với ngân hàng của quý khách.,,User Error,Fail,Hdan KH đăng kí dịch vụ thanh toán trực tuyến của NH.
-6021,FRAUD_DETECTION_REJECTED_MVEL_R5014,Thiết bị đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6020,FRAUD_DETECTION_REJECTED_MVEL_R5013,Thiết bị đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6019,FRAUD_DETECTION_REJECTED_MVEL_R5015,Thiết bị đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6018,FRAUD_DETECTION_REJECTED_MVEL_R5007,Tài khoản đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6017,FRAUD_DETECTION_REJECTED_MVEL_R5008,Tài khoản đã vượt hạn mức thanh toán trong tháng. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6016,FRAUD_DETECTION_REJECTED_MVEL_R5011,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6015,FRAUD_DETECTION_REJECTED_MVEL_R5019,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6014,FRAUD_DETECTION_REJECTED_MVEL_R5012,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6013,FRAUD_DETECTION_REJECTED_MVEL_R5018,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6012,FRAUD_DETECTION_REJECTED_MVEL_R5017,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6011,FRAUD_DETECTION_REJECTED_MVEL_R5009,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6010,FRAUD_DETECTION_REJECTED_MVEL_R5010,Thẻ đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6009,FRAUD_DETECTION_REJECTED_MVEL_R5016,Tài khoản đã vượt hạn mức thanh toán trong ngày. Thử thanh toán từ Ví. Liên hệ hotline 1900545436 để biết thêm chi tiết.,,User Error,Fail,
-6008,FRAUD_DETECTION_REJECTED_MVEL_R5006,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,,User Error,Fail,Xử lí theo quy trình DM
-6007,FRAUD_DETECTION_REJECTED_MVEL_R5005,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,,User Error,Fail,Xử lí theo quy trình DM
-6006,FRAUD_DETECTION_REJECTED_MVEL_R5004,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,,User Error,Fail,Xử lí theo quy trình DM
-6005,FRAUD_DETECTION_REJECTED_MVEL_R5003,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,,User Error,Fail,Xử lí theo quy trình DM
-6004,FRAUD_DETECTION_REJECTED_MVEL_R5002,Giao dịch nghi vấn không an toàn. Vui lòng liên hệ hotline 1900545436 để được hỗ trợ.,,User Error,Fail,Xử lí theo quy trình DM
-5109,WALLET_ACCOUNT_ALREADY_LINKED,Tài khoản ví đã được liên kết trước đó,,Bank Error,Fail,
-5108,BANK_BIDV_NOT_REGISTER_ONLINE_FINANCE,Quý khách đang sử dụng BIDV Online gói phi tài chính. Quý khách cần đăng ký BIDV Online gói tài chính để sử dụng dịch vụ.,,User Error,Fail,Hdan KH kiểm lại dịch vụ đang đăng kí với NH BIDV.
-5107,BANK_USERNAME_PASSWORD_INCORRECT,User hoặc Mật khẩu không đúng,,User Error,Fail,
-5106,BANK_BIDV_SB_PASSWORD_NOT_FIRST_CHANGE,Quý khách CHƯA đổi mật khẩu DV BIDV Smart Banking lần đầu. Vui lòng đổi mật khẩu lần đầu tại ứng dụng BIDV Smart Banking,,User Error,Fail,Hdan KH kiểm lại dịch vụ đang đăng kí với NH BIDV.
-5105,BANK_BIDV_NOT_REGISTER_BIDV_OR_INACTIVE,Khách hàng chưa đăng ký dịch vụ tại BIDV hoặc đang không ở trạng thái hoạt động,,User Error,Fail,Hdan KH kiểm lại dịch vụ đang đăng kí với NH BIDV.
-5104,BANK_BIDV_CIF_ALREADY_REGISTERED_BUNO,Số CIF đã sử dụng đăng ký BUNO hoặc đang xử lý tại quầy,,User Error,Fail,
-5103,BANK_BIDV_WALLET_ID_ALREADY_REGISTERED_BIDV_ONL,Mã ví đã liên kết đúng với user BIDV online xác thực,,User Error,Fail,
-5102,BANK_BIDV_BUNO_PHONE_NOT_MATCH,Số điện thoại BUNO không trùng số điện thoại BIDV Online,,User Error,Fail,
-5101,BANK_BIDV_NOT_REGISTER_SMARTBANKING_FINANCE,Quý khách đang sử dụng BIDV Smart Banking gói phi tài chính. Quý khách cần đăng ký BIDV Smart Banking gói tài chính để sử dụng dịch vụ.,,User Error,Fail,Hdan KH kiểm lại dịch vụ đang đăng kí với NH BIDV.
-5109,BANK_BIDV_MUST_CHANGE_PASS_BIDV_ONLINE,Bạn cần thay đổi mật khẩu BIDV Online để tiếp tục giao dịch.,,User Error,Fail,"Hdan KH thay đổi pass BIDV online, sau đó thực hiện lại giao dịch sau."
-5099,BANK_ACCOUNT_OR_CARD_NOT_ALLOWED,Tài khoản NH hoặc thẻ không được phép giao dịch. Vui lòng liên hệ ,,User Error,Fail,Hdan kh liên hệ NH kiểm tra lại tình trạng thẻ
-5095,BANK_PHONE_NEED_CHANGE_FORMAT,Khách hàng cần thay đổi số điện thẻo theo format của bộ thông tin truyền thông.,,User Error,Fail,"Nếu Kh đã đổi số điện thoại từ 11-10 số, KH cần gỡ liên kết VCb sau đó liên kết lại. "
-5094,BANK_PHONE_ALREADY_CHANGED_FORMAT,Khách hàng đã chuyển đổi số điện thoại từ phía ngân hàng. Vui lòng liên hệ với ngân hàng để được hỗ trợ.,,User Error,Fail,"Nếu Kh đã đổi số điện thoại từ 11-10 số, KH cần gỡ liên kết VCb sau đó liên kết lại. "
-5093,BANK_USER_CANCEL_TRANS,User huỷ giao dịch,,User Error,Fail,Hdan Kh thực hiện lại giao dịch.
-5092,BANK_INVALID_IDENTITY_INFO,Sai thông tin Chứng minh thư đăng ký với ngân hàng,,User Error,Fail,Hdan Kh kiểm tra lại số CMND đăng kí vs NH có trùng khớp với CMND đăng kí ZaloPay hay không? 
-5091,BANK_INVALID_PHONE_NUMBER,Sai thông tin số điện thoại đăng ký với ngân hàng,,User Error,Fail,"Sai thông tin thẻ, hdan KH kiểm tra lại thông tin thẻ và thực hiện lại thao tác."
-5087,BANK_CARD_NO_SUCH_ISSUER,Không tồn tại Ngân hàng phát hành thẻ,,User Error,Fail,Chưa có hướng xử lý cụ thể)
-5085,BANK_INVALID_CC_CARD_INFO_AT_PAYMENT,Ngân hàng từ chối giao dịch do thông tin thẻ không chính xác. Vui lòng thực hiện Liên kết lại thẻ để tiếp tục giao dịch.,,User Error,Fail,"Sai thông tin thẻ, hdan KH kiểm tra lại thông tin thẻ và thực hiện lại thao tác."
-5084,BANK_3DS_VALIDATION_FAIL,Giao dịch chưa xác nhận OTP từ phía ngân hàng. Vui lòng thực hiện lại giao dịch.,,User Error,Fail,
-5083,BANK_INVALID_CC_CARD_INFO,"Thông tin thẻ không chính xác, vui lòng nhập lại.",,User Error,Fail,"Sai thông tin thẻ, hdan KH kiểm tra lại thông tin thẻ và thực hiện lại thao tác."
-5082,BANK_TRANS_REJECTED_OR_NON_VN_CARD,"Thẻ bị Ngân hàng từ chối, hoặc do thẻ không phải phát hành tại Việt Nam. Vui lòng thử thẻ khác.",,User Error,Fail,
-5081,BANK_API_IN_MAINTERNANCE_MODE,Ngân hàng hiện đang bảo trì chức năng này. Vui long thử lại sau.,,System Error,Fail,
-5080,BANK_NON_VN_CARD_REJECTED,Giao dịch bị từ chối do Ngân hàng phát hành thẻ không phải ở Việt Nam.,,User Error,Fail,
-5079,BANK_INVALID_CARD_NUMBER_OR_HOLDER_NAME,Quý khách đã điền sai số thẻ hoặc tên chủ thẻ. Vui lòng thực hiện lại.,,User error,Fail,
-5078,BANK_INVALID_CARD_ISSUED_DATE,Ngày phát hành thẻ không đúng. Vui lòng thực hiện lại.,,User error,Fail,"Sai thông tin thẻ, hdan KH kiểm tra lại thông tin thẻ và thực hiện lại thao tác."
-5077,BANK_INACTIVE_OR_NOT_AUTHORIZED_CARD,Thẻ không hoạt động hoặc ngân hàng phát hành thẻ từ chối giao dịch. Vui lòng liên hệ với ngân hàng để được hỗ trợ.,,User Error,Fail,Hdan kh liên hệ NH kiểm tra lại tình trạng thẻ
-5076,BANK_CUSTOMER_IN_DENIED_PARTIES_LIST,Khách hàng nằm trong danh sách bị từ chối giao dịch.,,User Error,Fail,
-5075,BANK_TRANS_HAS_BEEN_REJECTED_BY_CYBERSOURCE,Ngân hàng từ chối giao dịch này. Vui lòng liên hệ ngân hàng phát hành thẻ để được hỗ trợ.,,User Error,Fail,
-5074,BANK_TRANS_HAS_NOT_BEEN_APPROVED,Ngân hàng không chấp nhận giao dịch này.,,User Error,Fail,"Giao dịch bị từ chối từ phía Ngân hàng. Nhờ KH liên hệ NH, gặp nhóm Cấp phép giao dịch để được kiểm tra nguyên nhâ và thực hiện lại sau"
-5073,BANK_TRANS_INVALID_STATUS_FOR_ACTION,Trạng thái của giao dịch ở ngân hàng không hợp lệ.,,System Error,Fail,
-5072,BANK_TRANS_ALREADY_REVERTED,Giao dich đã được revert trước đó.,,System Error,Fail,
-5071,BANK_TRANS_FAIL,Giao dịch thất bại phía ngân hàng. Vui lòng thử lại!,,Bank Error,Fail,"Hdan KH thực hiện lại giao dịch vào thời điểm khác, có thể hdan kh liên hệ NH kiểm tra gd."
-5070,BANK_TRANS_NOT_EXISTS,Khách hàng không thực hiện thanh toán.,,User Error,Fail,Hdan Kh thực hiện lại giao dịch lại sau.
-5069,BANK_USER_NOT_PROCESS_TRANS,Khách hàng không thực hiện giao dịch.,,User Error,Fail,
-5068,BANK_TRANS_LOCKED_DUE_TO_MAX_OTP_ATTEMPTS,Khách hàng nhập sai OTP quá số lần quy định.,,User Error,Fail,
-5067,BANK_TRANS_HAS_BEEN_REFUNDED,Giao dịch đã được hoàn tiền,,Bank Error,Fail,
-5066,BANK_EXCEEDED_NO_TRANS_PER_DAY,Quá số giao dịch trên ngày,,User Error,Fail,Hdan kh thực hiện giao dịch lại sau 24h
-5057,BANK_DUPLICATE_TRACE_NO,Giao dịch bị lỗi. Vui lòng thử lại!,,System Error,Fail,Hdan Kh thực hiện lại giao dịch lại sau.
-5056,BANK_CAN_NOT_SEND_OTP,Ngân hàng gửi OTP không thành công,,Bank Error,Fail,"Hdan Kh thực hiện lại giao dịch lại, có thể liên hệ vs NH kiểm tra lại mã OTP"
-5055,BANK_OTP_HAS_BEEN_EXPIRED,OTP đã hết hạn. Quý khách vui lòng thực hiện lại giao dịch khác.,,User Error,Fail,Hdan kh thực hiện lại giao dịch mới và nhập OTP trong thời hạn cho phép của giao dịch.
-5054,BANK_ORIGINAL_TRANS_NOT_FOUND,Không tìm thấy giao dịch gốc.,,System Error,Fail,
-5053,BANK_OTP_ORIGINAL_TRANS_VERIFIED,Giao dịch gốc đã được xác thực.,,System Error,Fail,
